rtm,caller_count,callers
t6sopb1.rtm,2,T6ALSOPB;T6SOPB
t6sopb2.rtm,2,T6ALSOPB;T6SOPB
t6sopb3.rtm,2,T6ALSOPB;T6SOPB
t6sopb4.rtm,2,T6ALSOPB;T6SOPB
t6sopd1.rtm,1,T6SAM
t6sope1.rtm,2,T6SAN;j6cfsan
t6sosb4.rtm,1,T6jksosb
t6srb1.rtm,1,T6ISSRB
t6srb2.rtm,1,T6ISSRB
t6srb3.rtm,1,T6ISSRB
t6srb4.rtm,1,T6ISSRB
t6srd1.rtm,1,T6ISSRD
t6srd1t.rtm,1,T6ISSRD
t6srd2.rtm,1,T6ISSRD
t6srd2t.rtm,1,T6ISSRD
t6srd3.rtm,1,T6ISSRD
t6srd3t.rtm,1,T6ISSRD
t6srd4.rtm,1,T6ISSRD
t6srd4t.rtm,1,T6ISSRD
t6srf1.rtm,1,T6ISSRF
t6srf2.rtm,1,T6ISSRF
t6srf3.rtm,1,T6ISSRF
t6srf4.rtm,1,T6ISSRF
t6srf6.rtm,1,T6ISSRF
t6srf7.rtm,1,T6ISSRF
t6woc1.rtm,1,T6WOC
t6woc2.rtm,1,T6WOC
t6woc3.rtm,1,T6WOC
t6woc4.rtm,1,T6WOC
t6woe1.rtm,1,T6WOE
t6woe2.rtm,1,T6WOE
t6wola1.rtm,1,t6wola
t6wolf1.rtm,1,t6wolf
t7ape1.rtm,1,t6ape
t7apg1.rtm,1,t6apg
t7apj1.rtm,1,t6apj
t7apl1.rtm,1,t6apl
temp.rtm,30,BKARE;BKING;BKPOB;BKSOC;BKSOD;BKWOC;ISLCF;ISSCF;ISSRD;J6HTJCH;T6ALSOB;T6ALSOC;T6ALSOF;T6ARE;T6GLN;T6INO;T6ISSRD;T6POB;T6SOD;T6SOF;T6WOC;t6ape;t6apg;t6apj;t6apl;t6islce;t6jca;t6sob;t6soc;t6sodmsg
test.rtm,11,BKING;T6ALSOB;T6ALSOC;T6ALSOF;T6ALSOPB;T6ESD;T6ING;T6SOF;T6SOPB;t6sob;t6soc
topsale.rtm,1,t6ine1
using.rtm,5,T6ALSOB;T6ALSOPB;T6ESD;T6SOPB;t6sob
wt6.rtm,3,BKSOC;T6ALSOC;t6soc
zbksa.rtm,2,BKPOENG;T6POENG
