code,description,dfms
WO-G,Enter WO BOM,T7WOG.DFM;t7wogimp.DFM
WO-H,Enter Misc/Extra Costs,T7WOH.DFM
WO-I,Enter Finished Production,T7WOI.DFM;T7WOIASK.DFM
WO-J,Rebuild Work Orders,T7WOJ.DFM;T7WOJPRESERIALS.DFM
WO-K-A,Enter Work Order Routings,T7WOKA.DFM;T7WOKACOPYROUT.DFM;T7WOKAOPTS.DFM
WO-K-B,Enter WO BOM,T7WOKB.DFM
WO-K-C,Create Multi-Date Work Orders,T7WOKC.DFM
WO-K-D,Create Multi-Assy Work Orders,T7WOKD.DFM;T7WOKDQTY.DFM
WO-K-E,Swap Substitute Parts,T7WOKE.DFM
WO-K-F,Edit Sequence Started/Finished Dates,T7WOKF.DFM
WO-K-G,Recalculate Projected Hours,T7WOKG.DFM
WO-K-L,Quick Work Orders,T7WOKL.DFM
WO-L-A,Print Work Order Status,T7WOLA.DFM
WO-L-C,Print Work Center Backlog,T7WOLC.DFM
WO-L-D,Print Projected Shipments,T7WOLD.DFM
WO-L-E,Print/Post Labor to Payroll,T7WOLE.DFM
WO-L-F,Print Work Order Shortage,T7WOLF.DFM
WO-L-G,Print Work Center by Key Component,T7WOLG.DFM
WO-L-H,Print Projected Hours Report,T7WOLH.DFM
WO-L-I,Print Allocations,T7WOLI.DFM
WO-L-J,Print Finished Work Order Report,T7WOLJ.DFM
WO-M,Batch Labor Entry,
WO-N,Post Labor Batches,T7WONoteTLL.DFM
WO-Q,Convert Work Orders to Purchase Orders,
